ID,Country of Origin,Lot Number,Altitude,Region,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Expiration
85,Taiwan,"The 2022 Pacific Rim Coffee Summit,T017",800,Yunlin,1,80 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Gesha,Completed,Natural / Dry,7.92,7.75,7.67,7.75,7.75,8,9.33,10,10,7.92,0,84.08,10.6,0,0,yello-green,0,"November 15th, 2023"
86,Guatemala,11/15/51,1500-1600,Oriente Santa rosa,430,30 kg,Asociacion Nacional Del Café,2022 / 2023,"March 22nd, 2023",Caturra,Completed,Washed / Wet,7.67,7.83,7.67,7.83,7.75,7.67,10,10,10,7.67,0,84.08,11,0,1,green,2,"March 21st, 2024"
87,Guatemala,11/15/59,1500-1600,Sierra de las minas,200,30 kg,Asociacion Nacional Del Café,2022 / 2023,"March 22nd, 2023",Caturra,Completed,Washed / Wet,7.67,7.92,7.67,7.75,7.67,7.58,10,10,10,7.75,0,84,11,0,2,green,2,"March 21st, 2024"
88,Honduras,"The 2022 Pacific Rim Coffee Summit,HN04",1800,"San Andrés, Lempira",16,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Typica,Completed,Pulped natural / honey,7.75,7.75,7.75,7.67,7.75,7.67,10,10,10,7.67,0,84,9.4,0,0,green,0,"November 15th, 2023"
89,"Tanzania, United Republic Of",CN 4127230031/P-9139,1600-1750,ARUSHA,200,60 kg,Kenya Coffee Traders Association,2022 / 2023,"January 3rd, 2023",Bourbon,Completed,Washed / Wet,7.58,7.67,7.75,7.75,7.75,7.75,10,10,10,7.75,0,84,9.8,0,0,greenish,3,"January 3rd, 2024"
90,Ethiopia,1077,1800,Sidama,300,60 kg,Centro Agroecológico del Café A.C.,2021 / 2022,"November 18th, 2022",Ethiopian Heirlooms,Completed,Washed / Wet,8,7.75,7.5,7.67,7.67,7.67,10,10,10,7.75,0,84,11.3,1,1,green,1,"November 18th, 2023"
91,"Tanzania, United Republic Of",CN 4127220159/4189220459,1400-1700,KILIMANJARO,320,60 kg,Kenya Coffee Traders Association,2022 / 2023,"November 21st, 2022",Bourbon,Completed,Washed / Wet,7.75,7.58,7.58,7.92,7.67,7.75,10,10,10,7.75,0,84,11.6,0,0,greenish,2,"November 21st, 2023"
92,Colombia,3-002-00883,1400-1700,Huila,275,70 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2022,"July 27th, 2022",Caturra,Completed,Washed / Wet,7.67,7.83,7.58,7.92,7.67,7.67,10,10,10,7.67,0,84,13.3,0,2,green,3,"July 27th, 2023"
93,Costa Rica,12077-01,1850,Tarrazu,250,35 kg,Specialty Coffee Association of Costa Rica,2022 / 2023,"April 19th, 2023",Caturra,Completed,Washed / Wet,7.67,7.92,7.58,7.75,7.67,7.58,10,10,10,7.75,0,83.92,9.5,0,0,green,2,"April 18th, 2024"
94,Guatemala,"The 2022 Pacific Rim Coffee Summit,GT01",1900,New Oriente,1,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022",Gesha,Completed,Natural / Dry,7.83,7.83,7.58,7.67,7.67,7.58,10,10,10,7.75,0,83.92,11.9,0,0,greenish,0,"November 15th, 2023"
95,Guatemala,11/15/95,1600,Atitlán,35,30 kg,Asociacion Nacional Del Café,2022 / 2023,"April 17th, 2023",Bourbon,Completed,Washed / Wet,7.58,7.83,7.58,7.75,7.67,7.75,10,10,10,7.75,0,83.92,10,0,1,green,2,"April 16th, 2024"
96,Thailand,CQU2022016,1300-1400,Nan,1,30 kg,Japan Coffee Exchange,2022,"September 21st, 2022",Catimor,Completed,Natural / Dry,7.75,7.67,7.58,7.75,7.75,7.67,10,10,10,7.75,0,83.92,11.6,0,0,yellowish,3,"September 21st, 2023"
97,Colombia,3/37/1370,1411,Pereira,375,70 kg,Japan Coffee Exchange,2022 / 2023,"April 17th, 2023",,Completed,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,0,83.83,11.9,0,1,green,1,"April 16th, 2024"
98,Guatemala,11/63/908,1400,HUEHUETENANGO,600,30 kg,Asociacion Nacional Del Café,2021 / 2022,"May 13th, 2022","BOURBON, CATURRA Y CATIMOR",Completed,Natural / Dry,7.58,7.83,7.67,7.67,7.67,7.67,10,10,10,7.75,0,83.83,10.8,0,0,green,4,"May 13th, 2023"
99,Guatemala,AMNI-22-0905,4895 A 5650,ANTIGUA GUATEMALA,635,30 kg,Asociacion Nacional Del Café,2021 / 2022,"May 19th, 2022",Bourbon,Completed,Washed / Wet,7.58,7.92,7.5,7.67,7.75,7.67,10,10,10,7.75,0,83.83,10.9,0,1,greenish,4,"May 19th, 2023"
100,Ethiopia,1,2000,Sidama,100,60 kg,Kenya Coffee Traders Association,2021 / 2022,"September 9th, 2022",Ethiopian Heirlooms,Completed,Washed / Wet,7.83,7.67,7.5,7.92,7.5,7.67,10,10,10,7.75,0,83.83,12,0,0,green,12,"September 9th, 2023"
101,Colombia,3-0068-00886,1700,Cauca,285,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2022 / 2023,"February 22nd, 2023",Caturra,Completed,Washed / Wet,7.92,7.75,7.42,7.58,7.92,7.67,10,10,10,7.58,0,83.83,12.1,2,5,green,5,"February 22nd, 2024"
102,United States (Hawaii),"The 2022 Pacific Rim Coffee Summit,US02",400-600,Ka'u,4,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 15th, 2022",Typica,Completed,Washed / Wet,7.67,7.92,7.58,7.58,7.58,7.75,10,10,10,7.75,0,83.83,11.8,0,3,green,3,"November 15th, 2023"
103,Colombia,"The 2022 Pacific Rim Coffee Summit,CO02",1800,Tolima,40,35 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 15th, 2022",Bourbon Sidra,Completed,Pulped natural / honey,7.67,7.92,7.67,7.58,7.67,7.67,10,10,10,7.58,0,83.75,10.6,0,0,greenish,1,"November 15th, 2023"
104,Mexico,312,1200,Chiapas,600,30 kg,Centro Agroecológico del Café A.C.,2022 / 2023,"April 5th, 2023",Sarchimor,Completed,Washed / Wet,7.67,7.67,7.58,7.67,7.83,7.58,10,10,10,7.75,0,83.75,11.7,4,0,green,12,"April 4th, 2024"
105,Colombia,,,,1,1 kg,Barista and Coffee Academy of Asia,2022,"September 26th, 2022",,Completed,,7.83,7.75,7.5,7.58,7.67,7.67,10,10,10,7.67,0,83.67,12.4,1,0,greenish,9,"September 26th, 2023"
106,Taiwan,202203,1250,"Caoling , Gukeng Township, Yunlin County",50,2 kg,Blossom Valley International宸嶧國際,2022,"October 24th, 2022",SL34,Completed,Washed / Wet,7.67,7.67,7.75,7.75,7.5,7.67,10,10,10,7.67,0,83.67,10,0,0,bluish-green,0,"October 24th, 2023"
107,Myanmar,"The 2022 Pacific Rim Coffee Summit,MM01",1400,South Shan State,100,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 15th, 2022","Catimor,Catuai,Caturra,Bourbon",Completed,Natural / Dry,7.83,7.83,7.67,7.58,7.58,7.58,10,10,10,7.58,0,83.67,10.2,0,1,pale yellow,1,"November 15th, 2023"
108,Taiwan,A05-Northern Taiwan Specialty Coffee Evaluation,200-400,新竹縣,1,13 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",unknown,Completed,Pulped natural / honey,7.58,7.75,7.67,7.83,7.5,7.67,10,10,10,7.67,0,83.67,9.2,0,0,greenish,0,"January 6th, 2024"
109,Honduras,"The 2022 Pacific Rim Coffee Summit,HN01",1470,"San Jose, La Paz",9,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022",Parainema,Completed,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.67,0,83.67,11.1,0,2,pale yellow,1,"November 15th, 2023"
110,Taiwan,A30-Northern Taiwan Specialty Coffee Evaluation,250-400,新竹縣,1,10 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",unknown,Completed,Natural / Dry,7.58,7.67,7.5,7.75,7.75,7.67,10,10,10,7.67,0,83.58,8.4,0,0,green,0,"January 6th, 2024"
111,Taiwan,A14-Northern Taiwan Specialty Coffee Evaluation,250-300,新竹縣,1,10 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Typica,Completed,Pulped natural / honey,7.58,7.75,7.58,7.75,7.58,7.67,10,10,10,7.67,0,83.58,9.1,0,0,green,0,"January 6th, 2024"
112,Guatemala,P-4142,1600,QUICHE,275,69 kg,Asociacion Nacional Del Café,2021 / 2022,"May 19th, 2022",Caturra,Completed,Washed / Wet,7.58,7.83,7.58,7.67,7.58,7.58,10,10,10,7.75,0,83.58,10.9,0,2,green,4,"May 19th, 2023"
113,Honduras,AMNI-22-6011-1,1400,Marcala,260,69 kg,Instituto Hondureño del Café,2021 / 2022,"August 17th, 2022",SHG,Completed,Washed / Wet,7.75,7.67,7.58,7.58,7.58,7.67,10,10,10,7.67,0,83.5,11.2,0,1,green,5,"August 17th, 2023"
114,Colombia,3-0104-00202 Popayán Supremo,1700,Popayán Cauca,600,30 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2022,"January 18th, 2023",Caturra,Completed,Washed / Wet,7.75,7.75,7.5,7.58,7.83,7.5,10,10,10,7.58,0,83.5,12.2,0,0,bluish-green,2,"January 18th, 2024"
115,Thailand,BOURBON 21/22 (Coffea Arabica),1200 - 1580,North of Thailand,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022",Bourbon,Completed,Washed / Wet,7.42,7.83,7.58,7.67,7.67,7.75,10,10,10,7.58,0,83.5,13.1,0,0,green,0,"July 14th, 2023"
116,Ethiopia,1,1700,OROMIA,320,19200 kg,METAD Agricultural Development plc,2021 / 2022,"November 30th, 2022",Ethiopian Heirlooms,Completed,Washed / Wet,7.42,7.42,7.42,8,7.92,7.67,10,10,10,7.67,0,83.5,10.4,0,1,greenish,11,"November 30th, 2023"
117,Thailand,CQU2022011,1450,Suan Ya Lung,5,2 kg,Japan Coffee Exchange,2022,"June 16th, 2022",Java,Completed,Washed / Wet,7.67,7.67,7.5,7.67,7.58,7.67,10,10,10,7.67,0,83.42,11.6,0,2,green,0,"June 16th, 2023"
118,Uganda,035/170/5021210,1400 - 1900,Mt Elgon,150,60 kg,Uganda Coffee Development Authority,2021 / 2022,"July 7th, 2022",SL14,Completed,Washed / Wet,7.75,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,0,83.42,10.1,0,0,green,3,"July 7th, 2023"
119,Taiwan,"The 2022 Pacific Rim Coffee Summit,T022",1100,Chiayi,1,40 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Typica + SL34,Completed,Washed / Wet,7.75,7.92,7.67,7.92,7.75,7.83,8.67,10,10,7.92,0,83.42,10.1,0,0,blue-green,0,"November 15th, 2023"
120,Uganda,7969,1905,Rwenzori,320,60 kg,Uganda Coffee Development Authority,2021 / 2022,"September 1st, 2022",SL14,Completed,Washed / Wet,7.75,7.67,7.58,7.5,7.67,7.5,10,10,10,7.67,0,83.33,11.1,0,0,green,5,"September 1st, 2023"
121,Taiwan,A04-Northern Taiwan Specialty Coffee Evaluation,200-300,新竹縣,1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Typica,Completed,Pulped natural / honey,7.58,7.67,7.5,7.75,7.5,7.58,10,10,10,7.75,0,83.33,9.7,0,0,greenish,0,"January 6th, 2024"
122,Guatemala,1,1280-1325,NEW ORIENTE & HUEHUETENANGO,320,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"December 30th, 2022","MARSELLESA, CATUAI, CATURRA & MARSELLESA, ANACAFE 14, CATUAI",Completed,Washed / Wet,7.5,7.75,7.58,7.75,7.67,7.58,10,10,10,7.5,0,83.33,11.4,0,0,green,0,"December 30th, 2023"
123,Taiwan,A21-Northern Taiwan Specialty Coffee Evaluation,300,桃園市,1,80 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Typica,Completed,Washed / Wet,7.58,7.67,7.58,7.75,7.42,7.58,10,10,10,7.75,0,83.33,9.6,0,0,green,1,"January 6th, 2024"
124,Colombia,1,1100,Sierra Nevada de Santa Marta,2,1 kg,FABB Academy of Coffee,2021 / 2022,"September 30th, 2022",Caturra,Completed,Washed / Wet,7.67,7.67,7.42,7.75,7.5,7.75,10,10,10,7.58,0,83.33,13.5,0,0,greenish,0,"September 30th, 2023"
125,Costa Rica,12074,1850,Tarrazu,320,69 kg,Specialty Coffee Association of Costa Rica,2022 / 2023,"April 19th, 2023",Caturra,Completed,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.75,10,10,10,7.67,0,83.33,0,0,0,green,3,"April 18th, 2024"
126,Taiwan,"The 2022 Pacific Rim Coffee Summit,T019",750,Yunlin,1,100 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",SL34,Completed,Washed / Wet,7.75,7.83,7.58,7.58,7.58,7.5,10,10,10,7.5,0,83.33,10.7,0,0,blue-green,1,"November 15th, 2023"
127,Thailand,TYPICA 21/22 (Coffea Arabica),1300-1500,North of Thailand,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022",Typica,Completed,Washed / Wet,7.92,7.92,7.75,7.33,7.58,7.5,10,10,10,7.33,0,83.33,12.3,0,0,yellow-green,16,"July 14th, 2023"
128,"Tanzania, United Republic Of",CN 4127220163/4189220459,1400-1700,KILIMANJARO,320,60 kg,Kenya Coffee Traders Association,2022 / 2023,"January 3rd, 2023",Bourbon,Completed,Washed / Wet,7.92,7.67,7.42,7.5,7.67,7.58,10,10,10,7.5,0,83.25,10.4,0,0,greenish,8,"January 3rd, 2024"
129,Brazil,004/22,950,Sul de Minas,960,60 kg,Brazil Specialty Coffee Association,2022 / 2023,"February 13th, 2023",Mundo Novo,Completed,Natural / Dry,7.58,7.5,7.5,7.83,7.67,7.5,10,10,10,7.67,0,83.25,11.6,0,0,green,4,"February 13th, 2024"
130,Taiwan,A41-Northern Taiwan Specialty Coffee Evaluation,1100-1200,苗栗縣,1,320 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",unknown,Completed,Washed / Wet,7.75,7.75,7.58,7.67,7.42,7.5,10,10,10,7.58,0,83.25,9.6,0,0,green,1,"January 6th, 2024"
131,Colombia,CQU2023003,1390,Quindio,2,12 kg,Japan Coffee Exchange,2022,"April 7th, 2023","Red Bourbon,Caturra",Completed,Anaerobico 1000h,7.67,7.67,7.58,7.67,7.58,7.58,10,10,10,7.5,0,83.25,10.9,0,0,brownish,2,"April 6th, 2024"
132,Honduras,"The 2022 Pacific Rim Coffee Summit,HN03",1600,"Marcala, La Paz",9,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022",Lempira,Completed,Washed / Wet,7.67,7.75,7.67,7.58,7.5,7.58,10,10,10,7.5,0,83.25,10.5,0,0,bluish-green,3,"November 15th, 2023"
133,Honduras,AMNI-22-6011-2,1400,Marcala,260,69 kg,Instituto Hondureño del Café,2021 / 2022,"August 17th, 2022",Catuai,Completed,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,0,83.25,11.3,0,1,green,5,"August 17th, 2023"
134,Taiwan,A35-Northern Taiwan Specialty Coffee Evaluation,200-300,新竹縣,1,16 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Typica,Completed,Natural / Dry,7.75,7.75,7.5,7.75,7.5,7.42,10,10,10,7.5,0,83.17,9.7,0,0,greenish,2,"January 6th, 2024"
135,Taiwan,A20-Northern Taiwan Specialty Coffee Evaluation,340,苗栗縣,1,100 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",unknown,Completed,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10,10,10,7.67,0,83.17,11.8,0,0,blue-green,0,"January 6th, 2024"
136,Laos,DCN03.11.2022,1200 - 1300,"Nongluang Bolaven Plateau, Champasack, Lao PDR",26,60 kg,Specialty Coffee Association of Indonesia,2022,"December 30th, 2022",Catimor,Completed,Natural / Dry,7.67,7.75,7.33,7.67,7.58,7.5,10,10,10,7.58,0,83.08,11.8,0,0,brownish,7,"December 30th, 2023"
137,Honduras,187,1368,"Centro, Lagunetillas - Ajuterique, Comayagua",250,69 kg,Instituto Hondureño del Café,2021 / 2022,"May 23rd, 2022",Catuai,Completed,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10,10,10,7.58,0,83.08,10.6,0,2,green,7,"May 23rd, 2023"
138,Honduras,198,1450,"Los Planes de Santa Maria, La Paz",325,69 kg,Instituto Hondureño del Café,2022 / 2023,"April 25th, 2023",Catuai,Completed,Washed / Wet,7.75,7.58,7.58,7.58,7.58,7.5,10,10,10,7.5,0,83.08,9.6,0,0,green,2,"April 24th, 2024"
139,Colombia,3-59-0654,1650,HUILA,600,30 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2022 / 2023,"January 13th, 2023",Caturra,Completed,Washed / Wet,8,7.67,7.42,7.58,7.58,7.42,10,10,10,7.33,0,83,13.1,0,0,bluish-green,1,"January 13th, 2024"
140,Taiwan,A17-Northern Taiwan Specialty Coffee Evaluation,250-300,新竹縣,1,12 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Typica,Completed,Pulped natural / honey,7.5,7.67,7.58,7.58,7.5,7.5,10,10,10,7.58,0,82.92,8.9,0,0,blue-green,0,"January 6th, 2024"
141,Mexico,1,1350,"ZONGOLICA, VERACRUZ",141,69 kg,Centro Agroecológico del Café A.C.,2021 / 2022,"August 11th, 2022",Bourbon,Completed,Washed / Wet,7.75,7.5,7.42,7.67,7.58,7.5,10,10,10,7.5,0,82.92,11.9,2,0,green,1,"August 11th, 2023"
142,Colombia,CQU2022013,1350,Quindio,1,12 kg,Japan Coffee Exchange,2021 / 2022,"June 16th, 2022",Typica Gesha,Completed,Washed / Wet,7.58,7.5,7.5,7.67,7.58,7.5,10,10,10,7.58,0,82.92,11.5,0,1,greenish,3,"June 16th, 2023"
143,Taiwan,202203,1200,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",300,1 kg,Blossom Valley International宸嶧國際,2022,"October 24th, 2022",Gesha,Completed,,7.67,7.5,7.42,7.75,7.42,7.58,10,10,10,7.58,0,82.92,10.2,0,0,yellow-green,0,"October 24th, 2023"
144,Honduras,273,1280,Marcala,275,69 kg,Instituto Hondureño del Café,2022 / 2023,"April 24th, 2023",Catuai,Completed,Washed / Wet,7.67,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,0,82.83,10,0,0,green,4,"April 23rd, 2024"
145,Thailand,GAYO 21/22 (Coffea Arabica),1300-1500,North of Thailand,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022",Gayo,Completed,Washed / Wet,7.17,7.92,7.58,7.5,7.58,7.67,10,10,10,7.42,0,82.83,11.8,0,0,yellow-green,5,"July 14th, 2023"
146,Vietnam,VHA- S3,900,"Eatan Commune, Krong Nang District, Krong Nang Province",22,60 kg,Specialty Coffee Association,2021 / 2022,"June 3rd, 2022",Catimor,Completed,Pulped natural / honey,7.58,7.42,7.58,7.5,7.67,7.75,10,10,10,7.33,0,82.83,13.3,0,0,green,4,"June 3rd, 2023"
147,Nicaragua,017-053-0017,1200,Matagalpa,275,69 kg,Asociación de Cafés Especiales de Nicaragua,2022 / 2023,"January 30th, 2023",SHG,Completed,Natural / Dry,7.33,7.58,7.25,7.33,7.75,8.17,10,10,10,7.33,0,82.75,10.5,5,2,green,1,"January 30th, 2024"
148,Costa Rica,"The 2022 Pacific Rim Coffee Summit,CR01",1450,west Villege,10,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022",SL28,Completed,Pulped natural / honey,7.33,7.5,7.25,7.92,7.75,7.58,10,10,10,7.42,0,82.75,11.8,0,0,pale yellow,1,"November 15th, 2023"
149,Colombia,3/01/12857,1700,Huila,250,70 kg,Japan Coffee Exchange,2022,"July 11th, 2022",Caturra,Completed,Washed / Wet,7.58,7.67,7.58,7.5,7.33,7.5,10,10,10,7.5,0,82.67,11.8,0,1,green,2,"July 11th, 2023"
150,Thailand,CATURRA 21/22 (Coffea Arabica),1200 - 1580,North of Thailand,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022",Caturra,Completed,Washed / Wet,7.33,7.58,7.58,7.5,7.67,7.67,10,10,10,7.33,0,82.67,13,1,0,greenish,0,"July 14th, 2023"
151,Thailand,21/22,1200,Chiang Mai,6,50 kg,Specialty Coffee Institute of Thailand,2021 / 2022,"June 14th, 2022","Bourbon, Catimor, Caturra, Typica",Completed,Natural / Dry,7.5,7.58,7.5,7.42,7.5,7.58,10,10,10,7.58,0,82.67,11.2,0,0,yellow green,0,"June 14th, 2023"
152,Honduras,197,1450,los planes de santa maria la paz,325,69 kg,Instituto Hondureño del Café,2022 / 2023,"April 25th, 2023",Catuai,Completed,Washed / Wet,7.67,7.58,7.33,7.5,7.58,7.5,10,10,10,7.5,0,82.67,9.6,0,0,green,2,"April 24th, 2024"
153,Taiwan,A01-Northern Taiwan Specialty Coffee Evaluation,165,苗栗縣,1,4 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",unknow,Completed,Natural / Dry,7.67,7.67,7.42,7.42,7.42,7.5,10,10,10,7.5,0,82.58,9.8,0,0,green,0,"January 6th, 2024"
154,Taiwan,A22-Northern Taiwan Specialty Coffee Evaluation,465,苗栗縣,1,32 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Caturra,Completed,Washed / Wet,7.67,7.58,7.42,7.42,7.5,7.5,10,10,10,7.5,0,82.58,8.4,0,0,blue-green,2,"January 6th, 2024"
155,Nicaragua,4 -3.1,1350,ESTELI,120,45 kg,Specialty Coffee Association,2021 / 2022,"June 20th, 2022",Parainema,Completed,Washed / Wet,7.5,7.58,7.42,7.58,7.5,7.58,10,10,10,7.42,0,82.58,10.1,0,0,green,0,"June 20th, 2023"
156,El Salvador,Jan-26,1200,Apaneca - Ilamatepec,600,30 kg,Salvadoran Coffee Council,2022 / 2023,"March 3rd, 2023",Bourbon,Completed,Washed / Wet,7.67,7.33,7.17,7.67,7.83,7.5,10,10,10,7.33,0,82.5,11.3,0,0,green,2,"March 2nd, 2024"
157,Panama,P03769,1200,Boquete,200,30 kg,Specialty Coffee Association of Costa Rica,2021 / 2022,"May 25th, 2022",Caturra,Completed,Washed / Wet,7.75,7.67,7.17,7.67,7.42,7.42,10,10,10,7.42,0,82.5,10,0,0,green,0,"May 25th, 2023"
158,Brazil,MVB-QCert-001/2022,1100,MANTIQUEIRA / SUL DE MINAS,620,30 kg,Brazil Specialty Coffee Association,2022 / 2023,"November 3rd, 2022",Mundo Novo,Completed,Natural / Dry,7.5,7.58,7.5,7.5,7.67,7.42,10,10,10,7.33,0,82.5,11.8,0,1,bluish-green,1,"November 3rd, 2023"
159,United States (Hawaii),"The 2022 Pacific Rim Coffee Summit,US03",640,Kona,4,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 15th, 2022",Maragogype,Completed,Washed / Wet,7.33,7.58,7.5,7.5,7.5,7.58,10,10,10,7.5,0,82.5,11.7,0,0,blue-green,1,"November 15th, 2023"
160,Mexico,"The 2022 Pacific Rim Coffee Summit,MX01",1340,Veracruz,10,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022",Pacamara,Completed,Washed / Wet,7.67,7.42,7.5,7.5,7.67,7.42,10,10,10,7.33,0,82.5,10.7,0,0,pale yellow,0,"November 15th, 2023"
161,Honduras,185,1368,"Centro, Lagunetillas - Ajuterique, Comayagua",345,30 kg,Instituto Hondureño del Café,2021 / 2022,"May 23rd, 2022",Catuai,Completed,Washed / Wet,7.58,7.58,7.33,7.5,7.58,7.42,10,10,10,7.5,0,82.5,10.6,0,0,green,8,"May 23rd, 2023"
162,Taiwan,A02-Northern Taiwan Specialty Coffee Evaluation,139,新竹縣,1,200 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",unknown,Completed,Washed / Wet,7.42,7.42,7.58,7.42,7.58,7.5,10,10,10,7.58,0,82.5,8.4,0,0,green,2,"January 6th, 2024"
163,Nicaragua,1,1200-1350,"Matagalpa, Nicaragua",275,69 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"December 30th, 2022",Caturra-Catuai,Completed,Washed / Wet,7.58,7.58,7.42,7.42,7.5,7.5,10,10,10,7.42,0,82.42,11.4,0,0,bluish-green,0,"December 30th, 2023"
164,Vietnam,Apollo Washed 2021,1040,Dalat,77,15 kg,Specialty Coffee Association,2021,"June 1st, 2022",Catimor,Completed,Washed / Wet,7.5,7.5,7.33,7.5,7.5,7.42,10,10,10,7.58,0,82.33,10.5,0,0,bluish-green,0,"June 1st, 2023"
165,El Salvador,Jan-26,1200,Apaneca - Ilamatepec,600,30 kg,Salvadoran Coffee Council,2022 / 2023,"February 21st, 2023",Bourbon,Completed,Washed / Wet,7.5,7.5,7.42,7.42,7.42,7.67,10,10,10,7.42,0,82.33,12,0,7,green,10,"February 21st, 2024"
166,El Salvador,Jan-74,1200,Apaneca - Ilamatepec,275,69 kg,Salvadoran Coffee Council,2021 / 2022,"July 7th, 2022",Bourbon,Completed,Washed / Wet,7.33,7.67,7.25,7.67,7.83,7.42,10,10,10,7.17,0,82.33,11.8,0,0,bluish-green,0,"July 7th, 2023"
167,Taiwan,A48-Northern Taiwan Specialty Coffee Evaluation,140,新竹縣,1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",unknown,Completed,Natural / Dry,7.67,7.58,7.42,7.5,7.33,7.42,10,10,10,7.42,0,82.33,10.8,0,0,green,1,"January 6th, 2024"
168,Peru,PR138,1600,"Chanchamayo, La Merced",275,69 kg,Japan Coffee Exchange,2022 / 2023,"July 11th, 2022",Caturra,Completed,Washed / Wet,7.67,7.5,7.33,7.58,7.33,7.42,10,10,10,7.42,0,82.25,11.7,0,1,greenish,3,"July 11th, 2023"
169,United States (Hawaii),Islander’s Coffee for Pacific Rim Summit,1200,Kona district of Big Island,3,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 9th, 2022",Typica,Completed,Washed / Wet,7.75,7.42,7.33,7.5,7.33,7.5,10,10,10,7.33,0,82.17,10.6,1,0,green,5,"November 9th, 2023"
170,Kenya,CQU2023004,1500-1950,Kericho,13,5 kg,Japan Coffee Exchange,2022,"April 7th, 2023","SL28,SL34,Ruiru11",Completed,Washed / Wet,7.5,7.5,7.42,7.5,7.25,7.5,10,10,10,7.5,0,82.17,11.2,0,0,green,2,"April 6th, 2024"
171,Honduras,184,1368,"Centro, Lagunetillas - Ajuterique, Comayagua",125,69 kg,Instituto Hondureño del Café,2021 / 2022,"May 23rd, 2022",Catuai,Completed,Washed / Wet,7.67,7.5,7.25,7.5,7.5,7.33,10,10,10,7.42,0,82.17,10.6,0,0,green,8,"May 23rd, 2023"
